blend,eth_pct,phi,T_K,P_Pa,Su_m_s,dL_um
E50,50,0.8,600,15e5,0.931111,17.1437
E50,50,0.8,700,15e5,1.33554,15.8544
E50,50,0.8,800,15e5,1.8254,14.8541
E50,50,0.9,400,15e5,0.416703,18.5413
E50,50,0.9,500,15e5,0.68999,16.6379
E50,50,0.9,600,15e5,1.04182,15.3219
E50,50,0.9,700,15e5,1.47602,14.3455
E50,50,0.9,800,15e5,1.99597,13.5847
E50,50,1,400,15e5,0.460069,16.7936
E50,50,1,500,15e5,0.748319,15.3411
E50,50,1,600,15e5,1.11353,14.3352
E50,50,1,700,15e5,1.55828,13.5882
E50,50,1,800,15e5,2.08482,13.0058
E50,50,1.1,400,15e5,0.485218,15.9232
E50,50,1.1,500,15e5,0.775261,14.8079
E50,50,1.1,600,15e5,1.13692,14.0403
E50,50,1.1,700,15e5,1.57151,13.4738
E50,50,1.1,800,15e5,2.08018,13.0348
E50,50,1.2,400,15e5,0.488843,15.8051
E50,50,1.2,500,15e5,0.767234,14.9628
E50,50,1.2,600,15e5,1.10885,14.3957
E50,50,1.2,700,15e5,1.51393,13.9862
E50,50,1.2,800,15e5,1.98267,13.6758
E50,50,1.3,400,15e5,0.470458,16.4228
E50,50,1.3,500,15e5,0.725314,15.8276
E50,50,1.3,600,15e5,1.03309,15.4514
E50,50,1.3,700,15e5,1.3932,15.1982
E50,50,1.3,800,15e5,1.80517,15.0205
E85,85,0.7,400,15e5,0.339223,22.7762
E85,85,0.7,500,15e5,0.582113,19.7213
E85,85,0.7,600,15e5,0.904953,17.6392
E85,85,0.7,700,15e5,1.31413,16.1128
E85,85,0.7,800,15e5,1.81542,14.9357
E85,85,0.8,400,15e5,0.409324,18.8756
E85,85,0.8,500,15e5,0.689981,16.6381
E85,85,0.8,600,15e5,1.05711,15.1003
E85,85,0.8,700,15e5,1.51627,13.9647
E85,85,0.8,800,15e5,2.07242,13.0836
E85,85,0.9,400,15e5,0.471805,16.3759
E85,85,0.9,500,15e5,0.78123,14.6948
E85,85,0.9,600,15e5,1.17958,13.5325
E85,85,0.9,700,15e5,1.6712,12.6701
E85,85,0.9,800,15e5,2.25991,11.9981
E85,85,1,400,15e5,0.519482,14.8729
E85,85,1,500,15e5,0.844956,13.5865
E85,85,1,600,15e5,1.25733,12.6957
E85,85,1,700,15e5,1.75952,12.0341
E85,85,1,800,15e5,2.35405,11.5183
E85,85,1.1,400,15e5,0.546375,14.1409
E85,85,1.1,500,15e5,0.872976,13.1504
E85,85,1.1,600,15e5,1.28021,12.4687
E85,85,1.1,700,15e5,1.76958,11.9657
E85,85,1.1,800,15e5,2.34236,11.5758
E85,85,1.2,400,15e5,0.54894,14.0748
E85,85,1.2,500,15e5,0.861555,13.3247
E85,85,1.2,600,15e5,1.24517,12.8197
E85,85,1.2,700,15e5,1.70005,12.4551
E85,85,1.2,800,15e5,2.22641,12.1786
E85,85,1.3,400,15e5,0.526831,14.6655
E85,85,1.3,500,15e5,0.812225,14.134
E85,85,1.3,600,15e5,1.15688,13.798
E85,85,1.3,700,15e5,1.56014,13.572
E85,85,1.3,800,15e5,2.02148,13.4133
