blend,eth_pct,IMEP_bar,eta_th_pct,Ppeak_bar,CA_Ppeak,MFB10,MFB50,MFB90,CA10_90,Tpeak_K,BSFC_g_kWh,Su_lam,St_turb,dL_um,knock_idx,knock_margin,knocked,NOx_g_kWh,CO_g_kWh,HC_g_kWh,CO2_g_kWh
E0,0.0000,10.7736,30.8922,36.8257,27.0000,2.2500,21.5000,42.0000,39.7500,3000.0000,267.8951,1.1072,2.2330,15.4477,1.0028,-0.0028,1,0.0119,0.0000,1.3395,852.5726
E5,5.0000,10.7374,30.8213,36.5917,27.2500,2.5000,21.7500,42.0000,39.5000,3000.0000,273.7663,1.1323,2.2730,15.1059,1.0142,-0.0142,1,0.0118,0.0000,1.3688,864.0155
E10,10.0000,10.7004,30.7490,36.3577,27.2500,2.5000,22.0000,42.2500,39.7500,3000.0000,279.8876,1.1573,2.3129,14.7790,1.0110,-0.0110,1,0.0118,0.0000,1.3994,875.4609
E15,15.0000,10.6628,30.6761,36.1240,27.5000,2.7500,22.2500,42.5000,39.7500,3000.0000,286.2673,1.1824,2.3526,14.4659,1.0052,-0.0052,1,0.0118,0.0000,1.4313,886.8352
E20,20.0000,10.6244,30.6020,35.8901,27.7500,3.0000,22.2500,42.7500,39.7500,3000.0000,292.9270,1.2074,2.3922,14.1658,1.0006,-0.0006,1,0.0118,0.0000,1.4646,898.0912
E30,30.0000,10.5455,30.4521,35.4229,28.0000,3.5000,22.7500,43.0000,39.5000,3000.0000,307.1410,1.2575,2.4711,13.6015,0.7904,0.2096,0,0.0118,0.0000,1.5357,919.8671
E50,50.0000,10.3775,30.1404,34.4857,28.7500,4.2500,23.5000,44.0000,39.7500,3000.0000,339.8033,1.3577,2.6274,12.5978,0.3991,0.6009,0,0.0110,0.0000,1.6990,957.1399
E85,85.0000,10.0503,29.5766,32.8243,30.2500,5.5000,25.0000,45.2500,39.7500,3000.0000,415.3486,1.5331,2.8971,11.1570,0.1202,0.8798,0,0.0097,0.0000,2.0767,954.1962
